Teff   Lum   
K   Lsun   
-----   ---------   
6147   258.386   
4449   56.532   
5399   1.625   
4500   1.228   
5308   1.057   
5257   0.633   
4714   1.215   
3013   0.727   
2561   0.191   
5659   56.486   
5518   2.851   
4333   160.25   
2975   0.344   
2847   0.577   
4500   0.64   
4631   0.395   
4871   0.754   
4818   0.838   
5625   3.103   
4704   0.707   
5874   1.584   
6611   1.794   
5000   1.288   
2561   0.289   
3718   0.367   
3824   4.264   
2561   0.426   
5408   1.436   
2852   0.446   
6236   1.918   
2756   0.616   
2952   0.399   
4288   6.871   
6674   1.816   
4812   0.522   
7007   4.001   
6808   1.819   
5742   1.159   
5748   0.781   
5950   1.17   
5983   1.291   
4111   0.32   
5553   2.624   
5483   4.17   
5598   3.072   
2561   0.3   
4906   9.413   
5662   2.044   
6189   1.321   
5440   1.264   
5526   2.7   
5618   1.822   
5500   0.707   
6051   2.163   
6100   1.26   
5795   1.327   
5541   2.056   
2902   0.631   
5056   6.838   
5698   1.602   
5889   1.673   
5848   2.22   
5655   2.291   
6500   1.851   
5558   1.817   
5196   2.897   
5500   0.918   
5706   2.699   
5456   2.34   
5485   1.511   
5299   1.623   
4953   13.305   
4168   5.34   
6347   2.718   
2658   0.225   
3759   0.877   
5268   1.553   
2909   0.862   
4536   1.229   
2614   0.324   
4162   2.889   
4000   1.006   
3696   3.7   
4675   53.94   
4303   1.964   
5175   4.511   
6162   1.441   
6484   5.892   
5268   1.255   
4327   0.475   
5590   1.99   
4294   284.29   
5834   1.188   
5010   1.293   
5714   2.038   
4435   2.274   
5177   1.086   
3304   3.508   
5109   12.408   
5267   2.839   
6139   2.08   
4503   1.279   
2960   0.798   
5833   2.207   
5425   1.294   
5542   1.707   
4851   1.892   
5540   1.559   
4989   0.723   
5430   3.186   
5861   1.668   
5232   7.056   
4250   5.196   
6199   1.455   
5334   7.375   
5687   1.746   
5764   1.489   
5655   0.754   
3257   2.79   
5375   13.375   
4137   133.505   
5330   1.502   
4980   1.078   
5636   2.494   
5867   2.706   
4853   58.888   
3697   1.365   
5570   2.251   
5169   3.355   
4613   4.1   
4620   3.636   
5290   1.471   
4113   13.232   
3618   0.306   
4249   0.567   
5815   2.074   
6088   2.338   
5782   2.386   
6040   1.178   
4613   0.825   
3061   0.875   
5847   1.983   
4361   11.269   
5644   2.638   
4353   11.973   
4322   1.703   
4842   20.559   
4400   2.911   
3669   1.491   
2561   0.48   
3372   1.184   
5507   1.592   
5105   4.904   
4489   1.902   
5250   1.464   
