WL     Counts
4036.82    5437.012000
4038.36    5506.620000
4039.90    5747.366000
4041.44    5748.782000
4042.99    5761.701000
4044.53    5668.757000
4046.07    5436.669000
4047.62    5516.440000
4049.16    5716.890000
4050.70    6037.125000
4052.24    6215.442000
4053.79    5984.725000
4055.33    6016.164000
4056.87    6319.614000
4058.42    5999.783000
4059.96    5773.274000
4061.50    5721.297000
4063.05    5796.349000
4064.59    5784.175000
4066.13    5687.645000
4067.68    5159.118000
4069.22    4664.936000
4070.76    5021.315000
4072.30    4889.295000
4073.85    5158.454000
4075.39    5419.276000
4076.93    5737.816000
4078.48    5856.321000
4080.02    5361.790000
4081.56    5231.268000
4083.11    5242.606000
4084.65    4995.110000
4086.19    4741.904000
4087.73    5244.269000
4089.28    5565.842000
4090.82    5577.857000
4092.36    5341.718000
4093.91    5080.886000
4095.45    4536.921000
4096.99    4866.647000
4098.53    4723.230000
4100.08    4863.783000
4101.62    5045.012000
4103.16    4909.492000
4104.71    5048.779000
4106.25    5167.772000
4107.79    5114.361000
4109.34    5081.581000
4110.88    4977.320000
4112.42    4969.810000
4113.97    5098.260000
4115.51    5245.768000
4117.05    4805.938000
4118.59    5164.076000
4120.14    5084.784000
4121.68    5085.151000
4123.22    5704.253000
4124.77    5283.396000
4126.31    5723.128000
4127.85    5838.014000
4129.40    5734.317000
4130.94    5273.552000
4132.48    5238.291000
4134.02    5500.057000
4135.57    5261.233000
4137.11    4672.236000
4138.65    4726.028000
4140.20    4866.252000
4141.74    4477.559000
4143.28    4444.061000
4144.82    4838.734000
4146.37    5061.212000
4147.91    4924.710000
4149.45    5011.998000
4151.00    4961.175000
4152.54    4961.409000
4154.08    5113.822000
4155.63    5096.380000
4157.17    5080.884000
4158.71    4974.459000
4160.26    4812.098000
4161.80    5134.465000
4163.34    4961.771000
4164.88    4681.189000
4166.43    4408.958000
4167.97    4684.033000
4169.51    5011.350000
4171.06    4766.445000
4172.60    4331.794000
4174.14    4493.318000
4175.69    4768.363000
4177.23    5169.700000
4178.77    5230.383000
4180.31    5167.933000
4181.86    5059.354000
4183.40    4677.981000
4184.94    4339.440000
4186.49    4443.242000
4188.03    4691.375000
4189.57    4784.014000
4191.11    4731.405000
4192.66    4887.150000
4194.20    4542.877000
4195.74    4442.742000
4197.29    4615.362000
4198.83    4874.610000
4200.37    4897.984000
4201.92    5113.283000
4203.46    5070.850000
4205.00    5184.100000
4206.55    4928.650000
4208.09    4682.773000
4209.63    4601.778000
4211.17    4673.210000
4212.72    4390.936000
4214.26    4408.116000
4215.80    4483.948000
4217.35    4442.433000
4218.89    4254.595000
4220.43    4498.290000
4221.98    4487.521000
4223.52    4545.833000
4225.06    4839.273000
4226.60    4763.073000
4228.15    4724.513000
4229.69    4853.840000
4231.23    4847.908000
4232.78    4825.672000
4234.32    4761.727000
4235.86    4792.510000
4237.40    4552.908000
4238.95    4375.227000
4240.49    4210.523000
4242.03    4488.742000
4243.58    4560.787000
4245.12    4813.258000
4246.66    4763.024000
4248.21    5373.169000
4249.75    5054.301000
4251.29    5246.513000
4252.84    4971.943000
4254.38    4708.970000
4255.92    4764.417000
4257.46    4978.129000
4259.01    4960.993000
4260.55    5228.780000
4262.09    5255.742000
4263.64    4778.788000
4265.18    4444.912000
4266.72    4305.609000
4268.27    4195.274000
4269.81    4298.683000
4271.35    4772.984000
4272.89    4815.154000
4274.44    4802.210000
4275.98    4918.678000
4277.52    5138.083000
4279.07    5151.258000
4280.61    5106.887000
4282.15    5506.008000
4283.69    5297.321000
4285.24    5606.671000
4286.78    5436.081000
4288.32    5218.469000
4289.87    5249.634000
4291.41    5019.039000
4292.95    4597.868000
4294.50    4735.435000
4296.04    4795.813000
4297.58    5085.857000
4299.12    4874.546000
4300.67    4750.108000
4302.21    5276.994000
4303.75    5210.205000
4305.30    5296.156000
4306.84    5260.506000
4308.38    5133.693000
4309.93    4893.348000
4311.47    4510.770000
4313.01    4303.969000
4314.56    4341.762000
4316.10    4587.434000
4317.64    4706.121000
4319.18    4846.505000
4320.73    5246.902000
4322.27    5045.328000
4323.81    5055.731000
4325.35    4966.173000
4326.90    4840.341000
4328.44    4723.788000
4329.98    4462.776000
4331.53    4429.067000
4333.07    4536.188000
4334.61    4620.341000
4336.16    4702.560000
4337.70    4483.301000
4339.24    4090.731000
4340.79    3915.223000
4342.33    3745.537000
4343.87    3697.853000
4345.41    3659.084000
4346.96    3516.292000
4348.50    3303.548000
4350.04    3238.687000
4351.59    3592.042000
4353.13    3933.369000
4354.67    4461.461000
4356.22    5190.359000
4357.76    5481.338000
4359.30    5686.563000
4360.85    5795.588000
4362.39    5587.521000
4363.93    5303.162000
4365.47    5011.347000
4367.02    4909.053000
4368.56    5162.899000
4370.10    5204.083000
4371.65    5258.824000
4373.19    5728.872000
4374.73    5919.943000
4376.27    5929.014000
4377.82    5834.971000
4379.36    5459.152000
4380.90    5126.552000
4382.45    5054.701000
4383.99    4969.768000
4385.53    5276.167000
4387.08    5628.614000
4388.62    5780.635000
4390.16    5651.541000
4391.70    5559.251000
4393.25    5577.535000
4394.79    5603.403000
4396.33    5490.452000
4397.88    5617.863000
4399.42    5498.657000
4400.96    5744.390000
4402.51    5994.595000
4404.05    6064.670000
4405.59    6053.818000
4407.14    5980.660000
4408.68    6109.261000
4410.22    6004.977000
4411.76    5796.645000
4413.31    5384.214000
4414.85    5460.741000
4416.39    5478.626000
4417.94    5410.755000
4419.48    5452.548000
4421.02    5330.354000
4422.56    5246.544000
4424.11    4691.372000
4425.65    4596.095000
4427.19    4640.961000
4428.74    4829.807000
4430.28    4766.564000
4431.82    5054.979000
4433.37    5059.347000
4434.91    5405.949000
4436.45    5643.606000
4437.99    5713.306000
4439.54    5608.724000
4441.08    5802.577000
4442.62    5709.794000
4444.17    5446.927000
4445.71    5436.693000
4447.25    5084.388000
4448.80    5101.972000
4450.34    5116.758000
4451.88    5533.443000
4453.43    5695.173000
4454.97    5854.223000
4456.51    5923.454000
4458.05    5841.148000
4459.60    5892.453000
4461.14    5889.397000
4462.68    6220.007000
4464.23    6099.346000
4465.77    6292.261000
4467.31    6396.000000
4468.85    6059.972000
4470.40    6294.080000
4471.94    5905.357000
4473.48    5928.548000
4475.03    6028.937000
4476.57    6122.839000
4478.11    5909.015000
4479.66    6075.635000
4481.20    6263.442000
4482.74    6346.125000
