Star	vsini		T_eff		log g	
240	5.5	-0.0	4051	106	0.99	0.36
247	7.8	-0.0	4321	123	0.48	0.4
261	8.9	-0.0	4036	100	0.26	-0.0
275	6.3	-0.0	3782	80	0.00	-0.0
276	5.8	-0.0	3771	92	0.72	0.39
292	5.9	-0.0	4233	97	0.49	0.36
297	11	1.9	5776	183	0.82	0.36
303	10.3	-0.0	4224	94	0.7	0.36
306	5.4	-0.0	3898	76	0.6	0.34
323	6.4	-0.0	4531	70	0.58	0.25
329	5.9	-0.0	4063	89	0.78	0.36
1294	7	0.7	4080	105	1.19	0.39
999	0.0 	0.0	6031	272	1.21	0.79
244	90.3	2.7	12500	746	3.4	0.16
254	184.5	6.1	12500	755	3.6	0.16
257	135.2	14.9	15000	1000	3.7	0.14
260	130	5.4	12000	500	3.3	0.1
264	99.8	23.9	16000	1000	3.7	0.1
267	113.7	2.1	18000	1000	3.1	0.1
272	280.4	15.3	12000	889	3.3	0.26
273	248.9	11.1	12000	500	3.5	0.14
274	60.5	2.9	13500	520	3.8	0.11
277	42.6	4.3	11750	500	3.7	0.21
279	23.2	3.7	13000	1000	3.6	0.1
285	64.6	11.7	14000	1000	4	0.16
286 	130.5	11.9	11750	500	3.3	0.14
287	279.7	24.1	12500	692	3.5	0.19
288	67.9	3.1	12500	500	3.5	0.1
290 	29.7	1.6	9000	500	1.7	0.13
291	0.4	0.8	12000	2120	4.4	0.84
293	235.8	31.7	12000	785	3.6	0.2
294 	279.6	9.1	12000	751	3.4	0.19
295	51.4	7.5	13500	581	3.9	0.18
298	25.6	1.7	7500	500	1.9	0.1
310	48.9	0.6	12000	500	3.4	0.12
320	179	15.2	15000	1000	4	0.1
324	168.6	11.8	12500	1111	3.5	0.31
325 	120.8	3.8	12000	750	3.4	0.17
1796 	281.3	14.5	13000	744	3.7	0.15
7467	48.8	4.4	13000	500	3.5	0.15
15304	135	1.4	18000	1000	3.1	0.11
145324	8.6	0.7	7750	500	1.3	0.1
