                  ID                Teff            Teff_err              log(g)          log(g)_err              [Fe/H]          [Fe/H]_err                sHRD
                   0           28000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.88105
                   1           25000.000             1000.00           2.7000000            0.100000                  -99.9                  -99.9             4.28417
                   2           28000.000             1000.00           3.1000000            0.100000                  -99.9                  -99.9             4.08105
                   3           29000.000             1001.66           3.2000000            0.100418                  -99.9                  -99.9             4.04201
                   4           27000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.11787
                   5           29000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             3.54200
                   6           28000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.18105
                   7           28000.000             1000.00           3.1000000            0.100000                  -99.9                  -99.9             4.08105
                   8           27000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.11787
                   9           25000.000             1000.00           3.7000000            0.100000                  -99.9                  -99.9             3.28417
                  10             32000.0           500.00000           4.0000000         0.050000001                  -99.9                  -99.9             3.41301
                  11           25000.000             1000.00           3.4000000            0.100000                  -99.9                  -99.9             3.58417
                  12             30399.8           850.00038           4.2725000         0.050000001                  -99.9                  -99.9             3.05140
                  13           22000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             3.86210
                  14           26000.000             1000.00           3.2000000            0.100000                  -99.9                  -99.9             3.85231
                  15           29000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             3.14200
                  16           27000.000             1000.00           3.2000000            0.100000                  -99.9                  -99.9             3.91787
                  17             29409.7           690.00053           3.6350000         0.085000038                  -99.9                  -99.9             3.63138
                  18           29000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             3.94201
                  19           24000.000             1000.00           3.6000000            0.100000                  -99.9                  -99.9             3.31326
                  20           28000.000             1000.00           4.0000000            0.100000                  -99.9                  -99.9             3.18105
                  21             30549.9           689.99863           4.1799998          0.10999966                  -99.9                  -99.9             3.15245
                  22           28000.000             1000.00           3.8000000            0.100000                  -99.9                  -99.9             3.38105
                  23           25000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             2.88417
                  24           26000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             2.95231
                  25           28000.000             1000.00           4.3000000            0.100000                  -99.9                  -99.9             2.88105
                  26             31389.9           629.99916           3.1575000          0.14249992                  -99.9                  -99.9             4.22207
                  27             25900.0           500.00000           4.1999998         0.050000001                  -99.9                  -99.9             2.84561
                  28           26000.000             1000.00           3.2000000            0.100000                  -99.9                  -99.9             3.85231
                  29             37580.3           500.00000           3.4749999         0.050000001                  -99.9                  -99.9             4.21725
                  30             42360.4           799.99924           3.8299999         0.069999933                  -99.9                  -99.9             4.07025
                  31             41759.9           1879.9973           3.6650000          0.12500000                  -99.9                  -99.9             4.21045
                  32             30999.9           500.00000           2.9000001         0.050000001                  -99.9                  -99.9             4.45785
                  33             30999.9           500.00000           2.9000001         0.050000001                  -99.9                  -99.9             4.45785
                  34             41320.0           1159.9998           3.8150001         0.095000029                  -99.9                  -99.9             4.04205
                  35             43159.8           1000.0000           3.8150001         0.095000029                  -99.9                  -99.9             4.11773
                  36             44679.7           959.99908           3.8815000         0.085500002                  -99.9                  -99.9             4.11135
                  37             38119.8           1479.9995           3.5300000          0.14999986                  -99.9                  -99.9             4.18702
                  38             40439.9           759.99832           3.8350000         0.065000057                  -99.9                  -99.9             3.98465
                  39             36719.8           760.00214           3.4725001         0.076500177                  -99.9                  -99.9             4.17951
                  40             37839.9           500.00000           3.5850000         0.050000001                  -99.9                  -99.9             4.11921
                  41             35999.8           500.00000           3.4050000         0.050000001                  -99.9                  -99.9             4.21261
                  42             35869.9           1229.9995           3.3699999          0.12500000                  -99.9                  -99.9             4.24133
                  43             37399.8           720.00122           3.5400000         0.069999933                  -99.9                  -99.9             4.14389
                  44             39120.1           919.99817           3.8199999         0.099999905                  -99.9                  -99.9             3.94201
                  45             39480.3           720.00122           3.9500000         0.090000153                  -99.9                  -99.9             3.82794
                  46             37759.8           759.99832           3.6750000         0.075000048                  -99.9                  -99.9             4.02553
                  47             34000.1           500.00000           3.3000000         0.050000001                  -99.9                  -99.9             4.21833
                  48             37259.8           659.99985           3.4250000         0.065000057                  -99.9                  -99.9             4.25238
                  49             39400.3           520.00046           3.8099999         0.050000001                  -99.9                  -99.9             3.96441
                  50           30000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.40090
                  51             34320.2           840.00015           3.3225000          0.17249990                  -99.9                  -99.9             4.21211
                  52             33900.0           500.00000           3.2950001         0.050000001                  -99.9                  -99.9             4.21821
                  53             36160.1           500.00000           3.5174999         0.050000001                  -99.9                  -99.9             4.10783
                  54             36760.4           559.99756           3.4814999         0.058499813                  -99.9                  -99.9             4.17243
                  55             35199.8           500.00000           3.4184999         0.050000001                  -99.9                  -99.9             4.16007
                  56             36039.6           500.00000           3.5085001         0.050000001                  -99.9                  -99.9             4.11103
                  57             35199.8           840.00015           3.4184999         0.085500002                  -99.9                  -99.9             4.16007
                  58             35039.7           500.00000           3.5039999         0.050000001                  -99.9                  -99.9             4.06665
                  59             35080.0           500.00000           3.4094999         0.050000001                  -99.9                  -99.9             4.16315
                  60             34000.1           500.00000           3.5000000         0.050000001                  -99.9                  -99.9             4.01833
                  61             37759.8           599.99847           3.9000001         0.050000191                  -99.9                  -99.9             3.80053
                  62             34600.3           840.00015           3.4700000          0.11000013                  -99.9                  -99.9             4.07873
                  63             38600.2           599.99847           4.0850000         0.085000038                  -99.9                  -99.9             3.65377
                  64             36320.4           720.00122           3.8050001         0.095000029                  -99.9                  -99.9             3.82802
                  65             33640.3           720.00122           3.2609999         0.072000027                  -99.9                  -99.9             4.23885
                  66             34989.7           1230.0034           3.4150000         0.079999924                  -99.9                  -99.9             4.15317
                  67             36800.2           500.00000           3.5804999         0.050000001                  -99.9                  -99.9             4.07531
                  68             35879.8           1040.0009           3.6500001          0.10000014                  -99.9                  -99.9             3.96181
                  69             36240.1           680.00031           3.6250000         0.065000057                  -99.9                  -99.9             4.00417
                  70             38199.7           520.00046           3.9800000         0.089999914                  -99.9                  -99.9             3.74065
                  71             37440.4           879.99725           3.8399999         0.089999914                  -99.9                  -99.9             3.84577
                  72             35999.8           520.00046           3.5050001         0.055000067                  -99.9                  -99.9             4.11261
                  73             37360.3           1440.0024           3.5850000          0.11500001                  -99.9                  -99.9             4.09705
                  74             37080.0           500.00000           3.9000001         0.050000001                  -99.9                  -99.9             3.76897
                  75             39240.1           880.00107           4.1849999          0.10500002                  -99.9                  -99.9             3.58233
                  76             38320.4           799.99924           4.0900002          0.14000010                  -99.9                  -99.9             3.63613
                  77             33040.0           500.00000           3.3060000         0.050000001                  -99.9                  -99.9             4.16257
                  78             34840.1           500.00000           3.5850000         0.050000001                  -99.9                  -99.9             3.97573
                  79             35399.7           760.00214           3.8350000         0.085000038                  -99.9                  -99.9             3.75341
                  80             35999.8           1599.9985           4.0250001          0.26500010                  -99.9                  -99.9             3.59261
                  81             37080.0           720.00122           4.1960001         0.088000298                  -99.9                  -99.9             3.47297
                  82             38160.2           880.00107           4.2100000         0.079999924                  -99.9                  -99.9             3.50886
                  83             34640.2           720.00122           3.8950000          0.10500002                  -99.9                  -99.9             3.65574
                  84             35719.9           840.00015           3.7650001          0.10500002                  -99.9                  -99.9             3.83905
                  85           30000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.40090
                  86           30000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.40090
                  87             34880.3           500.00000           3.4679999         0.072000027                  -99.9                  -99.9             4.09473
                  88             35119.6           500.00000           3.5130000         0.050000001                  -99.9                  -99.9             4.06161
                  89           25000.000             1000.00           4.1000000            0.100000                  -99.9                  -99.9             2.88417
                  90             33320.4           919.99817           3.2340000         0.089999914                  -99.9                  -99.9             4.24925
                  91             35580.3           960.00290           3.8880000          0.13199997                  -99.9                  -99.9             3.70925
                  92             33800.3           840.00015           3.3800001         0.080000162                  -99.9                  -99.9             4.12810
                  93             35160.1           500.00000           3.7149999         0.050000001                  -99.9                  -99.9             3.86161
                  94             30974.9           500.00000           3.2225001         0.050000001                  -99.9                  -99.9             4.13395
                  95           29000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.34200
                  96             32999.7           500.00000           3.5000000         0.050000001                  -99.9                  -99.9             3.96645
                  97             32129.9           560.00137           3.3104999         0.050000001                  -99.9                  -99.9             4.10955
                  98             32000.0           500.00000           3.4000001         0.050000001                  -99.9                  -99.9             4.01301
                  99             34600.3           680.00031           3.9349999          0.13499999                  -99.9                  -99.9             3.61373
                 100             32319.9           879.99916           3.7600000          0.16000009                  -99.9                  -99.9             3.67029
                 101             34559.7           720.00122           4.0949998          0.11499977                  -99.9                  -99.9             3.45169
                 102           30000.000             1000.00           3.0000000            0.100000                  -99.9                  -99.9             4.30090
                 103             30134.9           594.99931           3.2114999         0.058499813                  -99.9                  -99.9             4.09719
                 104             31009.9           1120.0008           3.3329999          0.16199994                  -99.9                  -99.9             4.02541
                 105           29000.000             1000.00           2.9000000            0.100000                  -99.9                  -99.9             4.34200
                 106             31779.7           840.00015           3.3690000          0.13499999                  -99.9                  -99.9             4.03201
                 107             32999.7           500.00000           3.5000000         0.050000001                  -99.9                  -99.9             3.96645
                 108             30999.9           500.00000           3.3000000         0.050000001                  -99.9                  -99.9             4.05785
                 109             32164.7           500.00000           3.5130000         0.050000001                  -99.9                  -99.9             3.90893
                 110             32719.8           560.00137           3.8050001         0.085000038                  -99.9                  -99.9             3.64666
                 111             32600.2           879.99916           3.9200001          0.12000012                  -99.9                  -99.9             3.52529
                 112             32000.0           500.00000           3.8000000         0.050000001                  -99.9                  -99.9             3.61301
                 113             32480.3           1039.9990           3.7149999          0.14499998                  -99.9                  -99.9             3.72389
                 114             34290.2           630.00107           4.2160001         0.076000214                  -99.9                  -99.9             3.31709
                 115             34080.0           500.00000           3.9949999         0.050000001                  -99.9                  -99.9             3.52741
                 116           30000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             4.00090
                 117           30000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             4.00090
                 118           28000.000             1000.00           2.8000000            0.100000                  -99.9                  -99.9             4.38105
                 119             29979.9           500.00000           3.0274999         0.050000001                  -99.9                  -99.9             4.27223
                 120           30000.000             1000.00           3.1000000            0.100000                  -99.9                  -99.9             4.20090
                 121           30000.000             1000.00           3.3000000            0.100000                  -99.9                  -99.9             4.00090
                 122             31569.7           569.99969           3.5534999         0.067499876                  -99.9                  -99.9             3.83599
                 123             30069.8           500.00000           3.2205000         0.050000001                  -99.9                  -99.9             4.08444
                 124             30010.3           569.99969           3.1530001         0.099000216                  -99.9                  -99.9             4.14849
